product_area,location_country,supplier_name,location_region,onboard_date_v2,sla_end_to_end_exclude_weekend1,wo_adv_std_exclude_weekend,complaince_activation_exclude_weekend,xws_activation_to_idv,xws_idv_to_system_activation
gCS,India,TELEDIRECT PTE LTD,APAC,2025-04-28,5,4,1,0,1
gTech,Greece,TELEPERFORMANCE SE,EMEA,2025-04-30,2,2,0,0,0
YouTube,India,ACCENTURE PLC,APAC,2025-05-02,6,2,4,0,4
POps,India,RANDSTAD NV,APAC,2025-04-28,12,2,10,5,5
Technical Infrastructure,United States,MCFARLAND BUILDING GROUP LLC,NORTH AMERICA,2025-04-29,1,1,0,0,0
REWS,Brazil,JONES LANG LASALLE INC,LATAM,2025-04-30,5,4,1,1,0
gTech,Ireland,TELUS,EMEA,2025-04-30,4,4,0,0,0
Technical Infrastructure,United States,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,2025-05-02,4,3,1,1,0
Cloud,United States,MEDIATEK INC,NORTH AMERICA,2025-04-29,18,3,15,14,1
REWS,India,MEDIFIT CONSULTANTS PVT LTD,APAC,2025-04-28,3,3,0,0,0
Cloud,Philippines,ACCENTURE PLC,APAC,2025-05-02,6,3,3,3,0
Cloud,Mexico,TATA GROUP,LATAM,2025-05-02,16,2,14,10,4
YouTube,United States,TELEPERFORMANCE SE,NORTH AMERICA,2025-05-02,6,3,3,3,0
POps,United States,VACO,NORTH AMERICA,2025-04-29,2,1,1,1,0
REWS,India,COMPASS GROUP PLC,APAC,2025-04-28,3,3,0,0,0
Waymo,India,WIPRO LIMITED,APAC,2025-04-28,3,2,1,0,1
Cloud,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-02,4,3,1,1,0
Devices & Services,United States,SOURCE INTELLIGENCE,NORTH AMERICA,2025-05-01,10,5,5,0,5
gCS,India,ACCENTURE PLC,APAC,2025-04-29,5,1,4,4,0
YouTube,India,CONCENTRIX,APAC,2025-04-30,3,3,0,0,0
YouTube,India,GENPACT LIMITED,APAC,2025-04-28,3,2,1,1,0
Cloud,Costa Rica,ACCENTURE PLC,LATAM,2025-04-28,3,2,1,0,1
Platforms + Ecosystems,United States,WIPRO LIMITED,NORTH AMERICA,2025-05-01,3,3,0,0,0
REWS,Finland,CBRE GROUP INC,EMEA,2025-05-02,3,3,0,0,0
POps,India,RANDSTAD NV,APAC,2025-05-02,7,2,5,5,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-05-01,7,3,4,4,0
gTech,India,HCL TECHNOLOGIES LTD,APAC,2025-05-01,7,2,5,0,5
Technical Infrastructure,India,INDIGO TELECOM GROUP LTD,APAC,2025-04-29,1,1,0,0,0
REWS,null,COMPASS GROUP PLC,NORTH AMERICA,2025-05-01,3,3,0,0,0
gCS,India,WNS (HOLDINGS) LIMITED,APAC,2025-04-30,3,2,1,1,0
Ads & Commerce,United Kingdom,CONTINUUMGLOBAL INC,EMEA,2025-04-30,2,3,0,0,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-28,4,2,2,1,1
Corp Eng,Ireland,ASTREYA PARTNERS INC,EMEA,2025-05-01,11,1,10,0,10
Waymo,India,WIPRO LIMITED,APAC,2025-04-30,6,2,4,4,0
Access,United States,"SYSTEM RESOURCES TELECOM, LLC (SRI)",NORTH AMERICA,2025-04-30,8,3,5,4,1
YouTube,Ireland,ACCENTURE PLC,EMEA,2025-04-28,3,2,1,0,1
Devices & Services,United States,ARCHLYNK LLC,NORTH AMERICA,2025-05-02,5,2,3,2,1
Global Affairs (w/o T&S),United States,AXIOM GLOBAL INC,NORTH AMERICA,2025-05-02,5,1,4,0,4
