product_area,location_country,pw_reset_date,supplier_name,location_region,sla_end_to_end_exclude_weekend1,sla_xws_exclude_weekend1,sub_act,time_to_onboard_include_weekend,wo_adv_std_include_weekend,time_to_onboard_exclude_weekend,wo_adv_std_exclude_weekend,comp_eqp_exclude_weekend,complaince_activation_exclude_weekend,xws_activation_to_idv,xws_idv_to_system_activation
REWS,United States,null,COMPASS GROUP PLC,NORTH AMERICA,2,1,2,2,2,2,2,null,1,0,0
gTech,Portugal,2025-04-30,MAJOREL GLOBAL,EMEA,7,5,9,9,2,7,2,6,5,5,0
T&S,India,2025-04-30,WIPRO LIMITED,APAC,5,3,7,7,2,5,2,null,3,0,3
POps,India,2025-04-30,ACCENTURE PLC,APAC,11,10,15,15,1,11,1,11,10,4,6
Cloud,United States,2025-04-30,GLOBALLOGIC INC,NORTH AMERICA,3,1,5,5,5,3,3,null,1,0,0
gTech,India,2025-04-28,HCL TECHNOLOGIES LTD,APAC,5,2,7,7,3,5,3,5,2,0,2
Technical Infrastructure,United States,2025-05-02,ALLIED UNIVERSAL,NORTH AMERICA,3,1,3,3,3,3,3,1,1,0,0
Devices & Services,India,2025-04-28,WIPRO LIMITED,APAC,5,2,7,7,3,5,3,5,2,0,2
T&S,India,2025-04-29,WIPRO LIMITED,APAC,5,3,7,7,2,5,2,null,3,2,1
T&S,India,2025-04-30,WIPRO LIMITED,APAC,3,2,5,5,3,3,1,2,2,0,2
REWS,United States,null,ELECTROSONIC LIMITED,NORTH AMERICA,3,1,5,5,5,3,3,null,1,0,0
Technical Infrastructure,United States,2025-04-30,AMENTUM COMMERCIAL OPERATIONS INC,NORTH AMERICA,2,1,2,2,2,2,2,1,1,0,0
Global Affairs (w/o T&S),Brazil,2025-04-30,"LEE, BROCK, CAMARGO ADVOGADOS",LATAM,5,3,7,7,2,5,2,5,3,3,0
REWS,United States,2025-05-02,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,8,6,10,10,2,8,2,1,6,5,1
Technical Infrastructure,Finland,null,FIBER HIGHWAY FINLAND OY,EMEA,3,1,5,5,5,3,3,null,1,0,0
Waymo,India,2025-04-30,WIPRO LIMITED,APAC,2,1,2,2,2,2,2,2,1,0,0
Wing,United States,2025-04-28,TALENTFUL LIMITED,NORTH AMERICA,4,3,6,6,1,4,1,3,3,1,2
Cloud,India,2025-05-02,HCL TECHNOLOGIES LTD,APAC,3,1,3,3,3,3,3,1,1,0,0
YouTube,India,2025-04-28,GENPACT LIMITED,APAC,3,1,5,5,2,3,2,1,1,0,1
T&S,India,2025-04-29,ACCENTURE PLC,APAC,4,2,6,6,2,4,2,null,2,0,2
Technical Infrastructure,United States,null,DIRECT LINE GLOBAL LLC,NORTH AMERICA,1,1,3,3,3,1,1,null,1,0,0
Waymo,India,2025-05-01,WIPRO LIMITED,APAC,3,1,3,3,2,3,2,null,1,1,0
Technical Infrastructure,null,null,ERICSSON INC,EMEA,3,1,3,3,3,3,3,null,1,0,0
gCS,Spain,2025-05-01,TELEPERFORMANCE SE,EMEA,7,6,9,9,1,7,1,1,6,5,1
Technical Infrastructure,India,null,INDIGO TELECOM GROUP LTD,APAC,3,1,3,3,3,3,3,null,1,0,0
REWS,India,null,JONES LANG LASALLE INC,APAC,3,1,3,3,3,3,3,null,1,0,0
Waymo,India,2025-04-30,WIPRO LIMITED,APAC,6,5,8,8,1,6,1,1,5,0,5
YouTube,India,2025-05-02,WIPRO LIMITED,APAC,3,1,3,3,3,3,3,2,1,0,0
Technical Infrastructure,United Kingdom,2025-04-30,SYNERGY SECURITY SOLUTIONS LIMITED,EMEA,2,1,3,3,3,2,2,1,1,0,0
Technical Infrastructure,Belgium,2025-04-29,TRACTEBEL ENGINEERING SA/NV,EMEA,4,2,6,6,2,4,2,1,2,1,1
Technical Infrastructure,United States,2025-04-29,SYNCREON GLOBAL HOLDINGS LIMITED,NORTH AMERICA,6,4,8,8,2,6,2,1,4,3,1
Technical Infrastructure,United States,2025-05-01,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,3,1,3,3,3,3,3,1,1,0,0
Ads & Commerce,Poland,2025-04-28,TELUS,EMEA,2,1,4,4,4,2,2,1,1,0,0
Geo,India,2025-04-28,WIPRO LIMITED,APAC,2,1,4,4,4,2,2,2,1,0,0
Technical Infrastructure,null,null,INTEGRITY CONCEPTS LLC,NORTH AMERICA,3,1,5,5,5,3,3,null,1,0,0
REWS,Brazil,null,SODEXO,LATAM,3,1,3,3,3,3,3,null,1,0,0
gCS,Philippines,2025-04-30,CONCENTRIX,APAC,2,1,2,2,2,2,2,1,1,0,0
REWS,Japan,2025-04-30,VECTOR RISK MANAGEMENT KK,APAC,5,2,7,7,5,5,3,3,2,0,2
REWS,Australia,2025-04-28,CSE CROSSCOM PTY LTD,APAC,22,21,32,32,1,22,1,5,21,4,17
Geo,India,2025-04-29,WIPRO LIMITED,APAC,3,1,5,5,4,3,2,2,1,0,1
gTech,Poland,null,TELEPERFORMANCE SE,EMEA,4,1,6,6,6,4,4,null,1,0,0
Cloud,Philippines,2025-05-02,HCL TECHNOLOGIES LTD,APAC,5,2,7,7,5,5,3,4,2,2,0
Technical Infrastructure,United States,null,M A MORTENSON COMPANY,NORTH AMERICA,2,1,4,4,4,2,2,null,1,0,0
Technical Infrastructure,United States,2025-05-01,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,7,3,9,9,6,7,4,4,3,3,0
Waymo,United States,2025-05-01,TRANSDEV,NORTH AMERICA,7,6,9,9,1,7,1,1,6,3,3
gTech,India,2025-05-02,VIRTUSA CORPORATION,APAC,8,5,10,10,3,8,3,null,5,5,0
Technical Infrastructure,United States,2025-05-01,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,7,4,9,9,3,7,3,2,4,1,3
Cloud,United States,2025-05-02,UJET INC,NORTH AMERICA,8,6,10,10,2,8,2,6,6,4,2
Corp Eng,India,null,LARSEN AND TOUBRO LIMITED,APAC,3,1,5,5,5,3,3,null,1,0,0
Devices & Services,United States,2025-04-28,SIEMENS AG,NORTH AMERICA,6,4,10,10,4,6,2,2,4,2,2
REWS,United States,2025-04-30,"INTER-CON SECURITY SYSTEMS, INC.",NORTH AMERICA,4,1,6,6,5,4,3,1,1,0,1
Technical Infrastructure,United States,null,"AKRAYA, INC",NORTH AMERICA,3,1,5,5,5,3,3,null,1,0,0
REWS,United States,null,ELECTROSONIC LIMITED,NORTH AMERICA,3,1,5,5,5,3,3,null,1,0,0
Technical Infrastructure,null,null,"ROONEY HOLDINGS, INC.",NORTH AMERICA,3,1,3,3,3,3,3,null,1,0,0
YouTube,India,2025-05-02,CONCENTRIX,APAC,6,3,8,8,5,6,3,1,3,3,0
Waymo,United States,2025-04-30,KPMG,NORTH AMERICA,3,1,5,5,4,3,2,1,1,0,1
YouTube,India,2025-04-28,GENPACT LIMITED,APAC,3,1,5,5,2,3,2,1,1,1,0
T&S,Philippines,2025-04-29,ACCENTURE PLC,APAC,10,8,14,14,2,10,2,9,8,1,7
Finance,United States,2025-04-28,MCKINSEY & COMPANY,NORTH AMERICA,6,4,10,10,4,6,2,2,4,0,4
REWS,India,null,JONES LANG LASALLE INC,APAC,3,1,3,3,3,3,3,null,1,0,0
REWS,India,null,SODEXO,APAC,3,1,3,3,3,3,3,null,1,0,0
T&S,Ireland,2025-04-29,ACCENTURE PLC,EMEA,5,3,7,7,2,5,2,4,3,0,3
Technical Infrastructure,United States,null,"ROONEY HOLDINGS, INC.",NORTH AMERICA,3,1,3,3,3,3,3,null,1,0,0
T&S,India,2025-05-02,WIPRO LIMITED,APAC,5,2,7,7,5,5,3,3,2,0,2
Technical Infrastructure,United States,null,SCHENKER,NORTH AMERICA,1,1,1,1,1,1,1,null,1,0,0
Devices & Services,Taiwan,2025-04-30,TATA GROUP,APAC,2,2,2,2,null,2,0,2,2,2,0
Search,Malaysia,null,TECH MAHINDRA LIMITED,APAC,3,1,5,5,5,3,3,null,1,0,0
YouTube,Philippines,2025-05-02,TECH MAHINDRA LIMITED,APAC,11,9,15,15,4,11,2,6,9,4,5
REWS,India,null,JONES LANG LASALLE INC,APAC,3,1,3,3,3,3,3,null,1,0,0
Corp Eng,India,2025-04-29,HCL TECHNOLOGIES LTD,APAC,2,1,4,4,3,2,1,1,1,0,1
REWS,null,null,MEDIFIT CONSULTANTS PVT LTD,APAC,3,1,3,3,3,3,3,null,1,0,0
Technical Infrastructure,United States,2025-05-02,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,4,1,4,4,3,4,3,3,1,1,0
Technical Infrastructure,United States,null,"ROONEY HOLDINGS, INC.",NORTH AMERICA,3,1,3,3,3,3,3,null,1,0,0
gTech,United States,2025-04-30,VACO,NORTH AMERICA,5,1,7,7,6,5,4,2,1,1,0
Geo,India,2025-05-02,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,6,3,8,8,5,6,3,1,3,3,0
gCS,Brazil,2025-04-29,ATENTO S.A.,LATAM,3,1,5,5,5,3,3,3,1,0,0
gCS,Brazil,2025-05-02,TTEC HOLDINGS INC,LATAM,7,4,9,9,5,7,3,1,4,4,0
Search,null,null,TECH MAHINDRA LIMITED,APAC,3,1,5,5,5,3,3,null,1,0,0
Access,Canada,2025-04-28,LYNX PLANNING & ENGINEERING INC,NORTH AMERICA,5,3,7,7,2,5,2,5,3,1,2
Marketing,United States,2025-05-01,LUCKY DAY LLC,NORTH AMERICA,7,4,9,9,3,7,3,6,4,1,3
Cloud,El Salvador,null,SERVICESOURCE INTERNATIONAL INC,LATAM,3,1,5,5,5,3,3,null,1,0,0
Access,United States,null,INFOGAIN CORPORATION,NORTH AMERICA,3,1,3,3,3,3,3,null,1,0,0
Technical Infrastructure,United States,null,MCFARLAND BUILDING GROUP LLC,NORTH AMERICA,1,1,1,1,1,1,1,null,1,0,0
Technical Infrastructure,Netherlands,2025-04-30,SYNCREON GLOBAL HOLDINGS LIMITED,EMEA,6,4,8,8,2,6,2,1,4,3,1
Technical Infrastructure,United States,2025-04-29,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,5,3,7,7,2,5,2,1,3,1,2
Access,United States,2025-04-28,DYCOM INDUSTRIES,NORTH AMERICA,3,1,5,5,2,3,2,3,1,1,0
Platforms + Ecosystems,India,2025-04-28,ITTIAM SYSTEMS PVT LTD,APAC,6,3,10,10,5,6,3,6,3,0,3
Geo,India,2025-04-28,WIPRO LIMITED,APAC,2,1,4,4,4,2,2,2,1,0,0
Technical Infrastructure,United States,null,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,1,1,1,1,1,1,1,null,1,0,0
Technical Infrastructure,United States,2025-04-30,VISION TECHNOLOGIES INC.,NORTH AMERICA,3,2,5,5,3,3,1,1,2,1,1
gTech,Ireland,2025-04-28,ACCENTURE PLC,EMEA,4,1,6,6,3,4,3,3,1,1,0
Finance,India,2025-04-29,ACCENTURE PLC,APAC,4,3,6,6,1,4,1,4,3,1,2
REWS,null,null,JONES LANG LASALLE INC,APAC,3,1,3,3,3,3,3,null,1,0,0
T&S,India,2025-04-30,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,9,7,13,13,4,9,2,7,7,5,2
Waymo,India,2025-04-28,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2,1,4,4,4,2,2,1,1,0,0
Waymo,United States,2025-05-01,TRANSDEV,NORTH AMERICA,7,4,9,9,3,7,3,2,4,2,2
YouTube,Ireland,2025-04-28,ACCENTURE PLC,EMEA,3,1,5,5,2,3,2,3,1,1,0
Technical Infrastructure,United States,2025-04-28,DIRECT LINE GLOBAL LLC,NORTH AMERICA,6,3,10,10,5,6,3,4,3,1,2
T&S,India,2025-04-28,WIPRO LIMITED,APAC,3,1,5,5,5,3,3,2,1,0,0
Corp Eng,India,2025-04-28,VIRTUSA CORPORATION,APAC,6,4,10,10,4,6,2,6,4,0,4
Devices & Services,United States,2025-05-02,ARCHLYNK LLC,NORTH AMERICA,5,3,7,7,4,5,2,5,3,2,1
YouTube,Ireland,2025-04-28,ACCENTURE PLC,EMEA,3,1,5,5,2,3,2,1,1,0,1
Global Affairs (w/o T&S),United States,2025-05-02,AXIOM GLOBAL INC,NORTH AMERICA,5,4,7,7,3,5,1,5,4,0,4
Technical Infrastructure,Finland,null,FIBER HIGHWAY FINLAND OY,EMEA,2,1,4,4,4,2,2,null,1,0,0
gTech,India,2025-04-28,TELEPERFORMANCE SE,APAC,5,2,7,7,3,5,3,3,2,2,0
Technical Infrastructure,United States,2025-05-01,E2 OPTICS,NORTH AMERICA,16,13,22,22,5,16,3,12,13,12,1
Technical Infrastructure,United States,null,DIRECT LINE GLOBAL LLC,NORTH AMERICA,2,1,4,4,4,2,2,null,1,0,0
Cloud,Greece,null,TELEPERFORMANCE SE,EMEA,3,1,5,5,5,3,3,null,1,0,0
REWS,United Kingdom,2025-05-02,FIRST,EMEA,6,3,8,8,5,6,3,2,3,0,0
Technical Infrastructure,United States,2025-05-02,"AKRAYA, INC",NORTH AMERICA,7,4,9,9,5,7,3,4,4,3,1
gTech,Portugal,2025-04-30,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,EMEA,4,1,6,6,5,4,3,1,1,0,1
GBO (w/o gTech & gCS),Singapore,2025-04-30,CODIMITE PTE LTD,APAC,2,1,2,2,2,2,2,1,1,0,0
gTech,India,2025-04-29,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,4,1,6,6,5,4,3,3,1,1,0
Waymo,India,2025-05-01,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,3,1,3,3,2,3,2,3,1,0,1
YouTube,United States,2025-05-01,COLLABERA LLC,NORTH AMERICA,9,4,16,16,10,9,5,10,4,0,4
Technical Infrastructure,United States,2025-04-28,"T5 DCMC, LLC",NORTH AMERICA,2,1,4,4,4,2,2,1,1,0,0
REWS,United States,2025-05-02,JONES LANG LASALLE INC,NORTH AMERICA,12,9,16,16,5,12,3,11,9,8,1
YouTube,India,2025-04-29,ACCENTURE PLC,APAC,8,4,12,12,6,8,4,4,4,3,1
Waymo,United States,2025-04-28,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,NORTH AMERICA,4,1,6,6,3,4,3,4,1,0,1
Devices & Services,India,2025-04-28,HCL TECHNOLOGIES LTD,APAC,5,2,7,7,3,5,3,3,2,0,2
YouTube,India,2025-04-28,GENPACT LIMITED,APAC,3,1,5,5,2,3,2,1,1,0,1
POps,United States,2025-04-29,RANDSTAD NV,NORTH AMERICA,7,2,11,11,7,7,5,6,2,1,1
POps,Denmark,null,WIPRO LIMITED,EMEA,3,1,3,3,3,3,3,null,1,0,0
Technical Infrastructure,United States,2025-05-02,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,4,1,4,4,3,4,3,3,1,1,0
REWS,India,null,COMPASS GROUP PLC,APAC,3,1,5,5,5,3,3,null,1,0,0
Cloud,Philippines,2025-05-02,ACCENTURE PLC,APAC,6,3,8,8,5,6,3,2,3,3,0
POps,United States,2025-04-29,VACO,NORTH AMERICA,2,1,4,4,3,2,1,2,1,1,0
REWS,India,null,MEDIFIT CONSULTANTS PVT LTD,APAC,3,1,5,5,5,3,3,null,1,0,0
YouTube,United States,2025-05-02,TELEPERFORMANCE SE,NORTH AMERICA,6,3,8,8,5,6,3,2,3,3,0
Cloud,United States,2025-04-29,MEDIATEK INC,NORTH AMERICA,18,15,26,26,5,18,3,14,15,14,1
Waymo,India,2025-04-28,WIPRO LIMITED,APAC,3,1,5,5,2,3,2,null,1,0,1
Cloud,Mexico,2025-05-02,TATA GROUP,LATAM,16,14,22,22,4,16,2,12,14,10,4
gTech,Ireland,2025-04-30,TELUS,EMEA,4,1,6,6,6,4,4,2,1,0,0
Cloud,Costa Rica,2025-04-28,ACCENTURE PLC,LATAM,3,1,5,5,2,3,2,3,1,0,1
REWS,Finland,null,CBRE GROUP INC,EMEA,3,1,3,3,3,3,3,null,1,0,0
Platforms + Ecosystems,United States,null,WIPRO LIMITED,NORTH AMERICA,3,1,4,4,4,3,3,null,1,0,0
gTech,India,2025-04-28,QUALITEST,APAC,4,1,6,6,6,4,4,3,1,0,0
Technical Infrastructure,Uruguay,2025-04-30,ANCHORBUOY LIMITED,LATAM,17,15,23,23,2,17,2,2,15,14,1
REWS,United States,null,JONES LANG LASALLE INC,NORTH AMERICA,1,1,3,3,3,1,1,null,1,0,0
Marketing,Colombia,2025-04-29,HUGE LLC,LATAM,13,11,19,19,4,13,2,12,11,2,9
Technical Infrastructure,United States,2025-04-29,SCHENKER,NORTH AMERICA,8,5,12,12,5,8,3,4,5,3,2
Geo,India,2025-04-28,WIPRO LIMITED,APAC,3,1,5,5,5,3,3,1,1,0,0
REWS,India,null,CBRE GROUP INC,APAC,3,1,5,5,5,3,3,null,1,0,0
Technical Infrastructure,Netherlands,2025-04-28,SYNCREON GLOBAL HOLDINGS LIMITED,EMEA,4,1,6,6,6,4,4,2,1,0,0
Access,United States,2025-05-01,DYCOM INDUSTRIES,NORTH AMERICA,7,3,9,9,6,7,4,3,3,0,3
Geo,India,2025-05-01,WIPRO LIMITED,APAC,5,2,7,7,5,5,3,2,2,2,0
Platforms + Ecosystems,India,2025-04-30,MARKETSTAR CORPORATION,APAC,4,1,6,6,5,4,3,2,1,1,0
gTech,India,2025-04-29,VACO,APAC,5,3,7,7,2,5,2,5,3,0,3
REWS,India,null,JONES LANG LASALLE INC,APAC,3,1,3,3,3,3,3,null,1,0,0
Technical Infrastructure,Utd.Arab Emir.,2025-05-02,IRON SYSTEMS INC,EMEA,8,6,10,10,2,8,2,7,6,0,6
Global Affairs (w/o T&S),India,2025-04-29,ACCENTURE PLC,APAC,4,3,6,6,1,4,1,null,3,0,3
Technical Infrastructure,United States,2025-05-02,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,4,1,4,4,3,4,3,4,1,0,1
Cloud,United States,2025-05-02,SERVICESOURCE INTERNATIONAL INC,NORTH AMERICA,12,11,16,16,1,12,1,1,11,0,11
Access,United States,2025-04-29,"INFRASTRUCTURE TECHNOLOGY SERVICES, INC.",NORTH AMERICA,30,27,42,42,3,30,3,26,27,26,1
Waymo,Philippines,2025-05-02,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,4,2,4,4,2,4,2,1,2,1,1
REWS,United States,null,SODEXO,NORTH AMERICA,3,1,5,5,5,3,3,null,1,0,0
Technical Infrastructure,United States,2025-05-01,ADECCO GROUP AG,NORTH AMERICA,6,3,13,13,10,6,3,5,3,0,3
T&S,India,2025-04-30,WIPRO LIMITED,APAC,3,2,5,5,3,3,1,1,2,0,2
gTech,India,2025-04-29,GENPACT LIMITED,APAC,4,1,6,6,5,4,3,1,1,1,0
Cloud,El Salvador,2025-05-02,TELUS,LATAM,4,1,4,4,3,4,3,1,1,1,0
gTech,Colombia,null,CONCENTRIX,LATAM,3,1,3,3,3,3,3,null,1,0,0
Technical Infrastructure,United States,null,MILLER ELECTRIC COMPANY INC,NORTH AMERICA,3,1,3,3,3,3,3,null,1,0,0
T&S,India,2025-05-02,WIPRO LIMITED,APAC,3,1,3,3,3,3,3,2,1,0,0
Devices & Services,India,2025-04-29,TECH MAHINDRA LIMITED,APAC,10,7,14,14,3,10,3,8,7,0,7
REWS,United States,null,JONES LANG LASALLE INC,NORTH AMERICA,2,1,4,4,4,2,2,null,1,0,0
X,United States,2025-04-30,RANDSTAD NV,NORTH AMERICA,23,20,33,33,5,23,3,8,20,20,0
Technical Infrastructure,United States,2025-04-29,SYNCREON GLOBAL HOLDINGS LIMITED,NORTH AMERICA,6,4,8,8,2,6,2,1,4,3,1
gTech,Poland,null,TELEPERFORMANCE SE,EMEA,3,1,5,5,5,3,3,null,1,0,0
Waymo,United States,2025-05-02,TRANSDEV,NORTH AMERICA,8,6,10,10,2,8,2,1,6,2,4
Finance,India,2025-04-30,ACCENTURE PLC,APAC,4,2,6,6,4,4,2,null,2,0,2
Geo,India,2025-05-02,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,6,2,8,8,6,6,4,1,2,2,0
Technical Infrastructure,Netherlands,2025-04-28,SYNCREON GLOBAL HOLDINGS LIMITED,EMEA,3,2,5,5,1,3,1,1,2,1,1
Cloud,Mexico,2025-04-28,HCL TECHNOLOGIES LTD,LATAM,5,1,7,7,4,5,4,1,1,0,1
gTech,null,null,TELEPERFORMANCE SE,EMEA,3,1,5,5,5,3,3,null,1,0,0
Ads & Commerce,United States,2025-05-01,"MAGNIT, LLC",NORTH AMERICA,11,9,22,22,9,11,2,16,9,1,8
YouTube,India,2025-05-02,ACCENTURE PLC,APAC,6,4,8,8,4,6,2,1,4,0,4
Technical Infrastructure,null,null,"ROONEY HOLDINGS, INC.",NORTH AMERICA,3,1,3,3,3,3,3,null,1,0,0
Cloud,Brazil,2025-04-28,ACCENTURE PLC,LATAM,3,1,5,5,2,3,2,1,1,0,1
Technical Infrastructure,United States,2025-05-01,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,7,4,9,9,3,7,3,2,4,4,0
T&S,India,2025-04-30,WIPRO LIMITED,APAC,3,2,5,5,3,3,1,2,2,0,2
gTech,United States,2025-04-30,VACO,NORTH AMERICA,5,3,7,7,2,5,2,5,3,1,2
Waymo,United States,2025-05-01,TRANSDEV,NORTH AMERICA,7,5,9,9,2,7,2,null,5,0,5
YouTube,Ireland,2025-04-28,ACCENTURE PLC,EMEA,3,1,5,5,2,3,2,1,1,0,1
YouTube,India,2025-04-28,GENPACT LIMITED,APAC,3,1,5,5,2,3,2,1,1,0,1
Technical Infrastructure,United States,2025-05-01,ALLIED UNIVERSAL,NORTH AMERICA,3,1,3,3,3,3,3,2,1,0,0
YouTube,United States,2025-05-02,ACCENTURE PLC,NORTH AMERICA,4,1,4,4,3,4,3,3,1,0,1
Cloud,Brazil,2025-05-02,SURESKILLS LIMITED,LATAM,7,5,9,9,2,7,2,1,5,0,5
Corp Eng,United States,2025-04-30,ASTREYA PARTNERS INC,NORTH AMERICA,5,4,7,7,1,5,1,4,4,4,0
gTech,India,2025-05-01,TELEPERFORMANCE SE,APAC,4,3,6,6,3,4,1,1,3,3,0
YouTube,Greece,2025-04-30,TELEPERFORMANCE SE,EMEA,2,1,2,2,2,2,2,1,1,0,0
Cloud,Romania,2025-04-29,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,EMEA,5,4,7,7,1,5,1,4,4,0,4
Technical Infrastructure,United States,2025-04-28,SCHENKER,NORTH AMERICA,5,2,7,7,3,5,3,1,2,0,2
Devices & Services,United States,2025-04-28,ACCENTURE PLC,NORTH AMERICA,7,4,11,11,5,7,3,7,4,2,2
T&S,India,2025-04-29,WIPRO LIMITED,APAC,5,4,7,7,1,5,1,null,4,0,4
REWS,United States,2025-04-29,JONES LANG LASALLE INC,NORTH AMERICA,4,1,6,6,6,4,4,3,1,0,0
Waymo,United States,2025-04-28,AMERIT FLEET SOLUTIONS INC.,NORTH AMERICA,2,1,4,4,1,2,1,1,1,0,1
T&S,India,2025-05-02,WIPRO LIMITED,APAC,4,1,4,4,3,4,3,null,1,0,1
gTech,Poland,null,TELEPERFORMANCE SE,EMEA,3,1,5,5,5,3,3,null,1,0,0
Technical Infrastructure,United States,null,"ROONEY HOLDINGS, INC.",NORTH AMERICA,3,1,5,5,5,3,3,null,1,0,0
Cloud,Mexico,2025-04-28,TATA GROUP,LATAM,4,2,6,6,2,4,2,1,2,2,0
gTech,United States,2025-04-29,VACO,NORTH AMERICA,4,1,6,6,6,4,4,2,1,0,0
Finance,India,2025-04-30,IBM CORPORATION,APAC,7,4,9,9,3,7,3,7,4,4,0
Cloud,United States,2025-04-29,MANTECH ADVANCED SYSTEMS INTERNATIONAL INC,NORTH AMERICA,22,17,32,32,7,22,5,17,17,17,0
YouTube,Philippines,2025-05-02,TECH MAHINDRA LIMITED,APAC,11,10,15,15,1,11,1,7,10,1,9
Waymo,United States,2025-05-01,TRANSDEV,NORTH AMERICA,7,4,9,9,3,7,3,null,4,2,2
gCS,Brazil,2025-05-02,TTEC HOLDINGS INC,LATAM,4,1,4,4,3,4,3,2,1,1,0
REWS,India,null,G4S PLC,APAC,2,1,2,2,2,2,2,null,1,0,0
Technical Infrastructure,null,null,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,3,1,3,3,3,3,3,null,1,0,0
Waymo,India,2025-04-30,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2,1,2,2,2,2,2,1,1,0,0
Technical Infrastructure,null,null,DIRECT LINE GLOBAL LLC,NORTH AMERICA,3,1,5,5,5,3,3,null,1,0,0
REWS,null,null,JONES LANG LASALLE INC,APAC,3,1,3,3,3,3,3,null,1,0,0
POps,India,2025-04-29,ACCENTURE PLC,APAC,5,3,7,7,2,5,2,5,3,1,2
REWS,Philippines,null,JONES LANG LASALLE INC,APAC,3,1,3,3,3,3,3,null,1,0,0
Search,India,2025-05-01,GLOBALLOGIC INC,APAC,2,1,2,2,3,2,3,1,1,0,0
T&S,India,2025-05-02,WIPRO LIMITED,APAC,3,1,3,3,3,3,3,1,1,0,0
Cloud,India,2025-04-29,INFOSYS,APAC,12,9,18,18,5,12,3,2,9,8,1
REWS,Taiwan,null,"LIANG PIN DINING CO., LTD.",APAC,3,1,3,3,3,3,3,null,1,0,0
Waymo,India,2025-04-28,WIPRO LIMITED,APAC,4,3,6,6,1,4,1,4,3,0,3
gTech,Greece,2025-04-28,TELEPERFORMANCE SE,EMEA,7,1,11,11,8,7,6,3,1,1,0
Corp Eng,United States,2025-04-28,SAP SE,NORTH AMERICA,39,37,55,55,2,39,2,null,37,12,25
Waymo,United States,2025-04-28,METRO ONE LOSS PREVENTION SERVICES GROUP (GUARD DIVISION) INC,NORTH AMERICA,5,2,7,7,3,5,3,2,2,1,1
Cloud,El Salvador,null,SERVICESOURCE INTERNATIONAL INC,LATAM,3,1,5,5,5,3,3,null,1,0,0
Platforms + Ecosystems,India,2025-04-28,DELOITTE,APAC,5,1,7,7,4,5,4,4,1,1,0
T&S,Philippines,2025-04-29,ACCENTURE PLC,APAC,10,7,14,14,3,10,3,9,7,0,7
Technical Infrastructure,United States,2025-04-30,SYNCREON GLOBAL HOLDINGS LIMITED,NORTH AMERICA,3,2,5,5,3,3,1,1,2,1,1
REWS,null,null,SODEXO,NORTH AMERICA,3,1,5,5,5,3,3,null,1,0,0
Geo,India,2025-04-28,WIPRO LIMITED,APAC,0,1,0,0,1,0,1,null,1,0,0
Technical Infrastructure,United States,2025-04-28,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2,1,4,4,4,2,2,1,1,0,0
Devices & Services,United States,2025-05-02,"AKRAYA, INC",NORTH AMERICA,4,1,4,4,3,4,3,3,1,0,1
REWS,United States,null,SYSTEM ONE HOLDINGS LLC DBA TEAMPEOPLE,NORTH AMERICA,3,1,5,5,5,3,3,null,1,0,0
Cloud,India,2025-05-01,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,5,2,7,7,5,5,3,4,2,1,1
Waymo,United States,2025-05-01,TRANSDEV,NORTH AMERICA,7,5,9,9,2,7,2,2,5,2,3
gCS,Brazil,2025-04-29,ATENTO S.A.,LATAM,3,1,5,5,5,3,3,2,1,0,0
Cloud,United States,2025-04-28,MARKETSTAR CORPORATION,NORTH AMERICA,3,1,5,5,2,3,2,1,1,0,1
gTech,Poland,null,TELEPERFORMANCE SE,EMEA,3,1,5,5,5,3,3,null,1,0,0
gTech,Poland,null,TELEPERFORMANCE SE,EMEA,4,1,6,6,6,4,4,null,1,0,0
Waymo,India,2025-05-01,WIPRO LIMITED,APAC,3,1,3,3,2,3,2,3,1,1,0
