product_area,location_country,pw_reset_date,supplier_name,location_region,sla_end_to_end_exclude_weekend1,sla_xws_exclude_weekend1,sub_act,time_to_onboard_include_weekend,wo_adv_std_include_weekend,time_to_onboard_exclude_weekend,wo_adv_std_exclude_weekend,comp_eqp_exclude_weekend,complaince_activation_exclude_weekend,xws_activation_to_idv,xws_idv_to_system_activation
Technical Infrastructure,United States,2025-04-29,SYNCREON GLOBAL HOLDINGS LIMITED,NORTH AMERICA,3,1,5,5,5,3,3,2,1,0,0
Ads & Commerce,Philippines,2025-04-30,ACCENTURE PLC,APAC,9,8,13,13,1,9,1,9,8,6,2
Technical Infrastructure,null,null,C D MOODY CONSTRUCTION COMPANY INC,NORTH AMERICA,3,1,5,5,5,3,3,null,1,0,0
Technical Infrastructure,United States,2025-04-28,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,4,1,6,6,3,4,3,2,1,1,0
Technical Infrastructure,Finland,null,CBRE GROUP INC,EMEA,4,1,6,6,6,4,4,null,1,0,0
Cloud,El Salvador,2025-04-30,TELUS,LATAM,2,1,2,2,2,2,2,1,1,0,0
Technical Infrastructure,null,null,J E DUNN CONSTRUCTION COMPANY,NORTH AMERICA,3,1,3,3,3,3,3,null,1,0,0
T&S,India,2025-04-30,WIPRO LIMITED,APAC,3,2,5,5,3,3,1,null,2,0,2
REWS,India,null,JONES LANG LASALLE INC,APAC,3,1,3,3,3,3,3,null,1,0,0
Technical Infrastructure,United States,2025-05-01,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,3,2,3,3,1,3,1,1,2,0,2
Technical Infrastructure,null,null,AIDAN STRAIN ELECTRICAL ENGINEERING LIMITED,EMEA,3,1,3,3,3,3,3,null,1,0,0
Core (w/o Corp Eng),India,2025-04-29,AD ASTRA STAFFING SOLUTIONS PVT. LTD.,APAC,10,5,14,14,7,10,5,10,5,2,3
REWS,United States,null,COMPASS GROUP PLC,NORTH AMERICA,3,1,3,3,3,3,3,null,1,0,0
gTech,Poland,2025-05-02,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,EMEA,4,2,4,4,2,4,2,1,2,0,2
REWS,India,null,SODEXO,APAC,3,1,3,3,3,3,3,null,1,0,0
Cloud,India,2025-05-02,HCL TECHNOLOGIES LTD,APAC,3,1,3,3,3,3,3,1,1,0,0
gCS,Brazil,2025-04-29,ATENTO S.A.,LATAM,3,1,5,5,5,3,3,3,1,0,0
Geo,India,2025-04-29,WIPRO LIMITED,APAC,3,1,5,5,4,3,2,1,1,0,1
Access,United States,2025-04-30,"ALAN PLUMMER ASSOCIATES, INC",NORTH AMERICA,12,9,16,16,3,12,3,10,9,2,7
Access,United States,2025-04-28,DYCOM INDUSTRIES,NORTH AMERICA,10,7,15,15,4,10,3,10,7,7,0
T&S,India,2025-04-30,WIPRO LIMITED,APAC,5,2,7,7,5,5,3,1,2,0,2
REWS,India,null,COMPASS GROUP PLC,APAC,3,1,5,5,5,3,3,null,1,0,0
Cloud,Greece,null,TELEPERFORMANCE SE,EMEA,3,1,5,5,5,3,3,null,1,0,0
Waymo,India,2025-04-30,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2,1,2,2,2,2,2,1,1,0,0
Technical Infrastructure,India,null,ERICSSON INC,APAC,1,1,3,3,3,1,1,null,1,0,0
gTech,Greece,2025-04-30,TELEPERFORMANCE SE,EMEA,5,2,7,7,5,5,3,3,2,1,1
T&S,India,2025-04-30,WIPRO LIMITED,APAC,3,1,5,5,5,3,3,null,1,0,0
Cloud,United States,2025-05-01,ACCENTURE PLC,NORTH AMERICA,4,1,6,6,5,4,3,3,1,1,0
Devices & Services,United States,2025-04-30,DELOITTE,NORTH AMERICA,11,8,15,15,3,11,3,11,8,2,6
REWS,null,null,COMPASS GROUP PLC,APAC,3,1,5,5,5,3,3,null,1,0,0
T&S,Portugal,2025-04-30,ACCENTURE PLC,EMEA,11,10,15,15,1,11,1,1,10,1,9
T&S,India,2025-04-28,WIPRO LIMITED,APAC,4,2,6,6,2,4,2,4,2,0,2
gCS,India,2025-04-28,WNS (HOLDINGS) LIMITED,APAC,5,2,7,7,3,5,3,3,2,2,0
Technical Infrastructure,United States,2025-05-02,ALLIED UNIVERSAL,NORTH AMERICA,3,1,3,3,3,3,3,1,1,0,0
