cw_num,product_area,person_id,st_created_date,work_order_accepted_date,worker_cost_center,complaince_activation_include_weekend,username,location_country,worker_access_type,ST_start_date,st_start_month,pw_reset_date,supplier_name,parent_supplier_name,is_saksham,location_region,location_type,hw_date_shipped,hw_estimated_delivery_date,hw_recd_dt,idv_date,idv_decision_date,idv_approval_date,idv_exception,gvc_invite_created_dt,remote_access_date_source,worker_type,cnt_class_dates,net_onboarding_date,delivery_update,transfer_flag,bulk_shipment,manager_pref_for_hw_shipping,manager_hierarchy_user_names,hiring_manager_username,has_equipment,worker_active_flag,onboard_date_v2,derived_onboarding_status,sla_end_to_end,sla_end_to_end_exclude_weekend1,sla_xws_exclude_weekend1,is_chromebook,location_site,location_code,manual_onboarding_status,WorkerType,EquipmentAssigned,ChromebookAssigned,source_system,Equipment_Type,reattempt,sub_act,time_to_onboard_include_weekend,wo_adv_std_include_weekend,gvc_act,eqp_gvc,comp_eqp_include_weekend,time_to_onboard_exclude_weekend,wo_adv_std_exclude_weekend,comp_eqp_exclude_weekend,complaince_activation_exclude_weekend,xws_activation_to_idv,xws_idv_to_system_activation,last_refresh_date,access_flag,access_flag_unrestricted,access_flag_supplier,access_flag_pa,access_flag_supplier_pa,access_flag_manager
G-CW-00969765,Waymo,1557702,2025-04-20,2025-04-20,SQA,4,gsreelatha,India,Access Only,2025-04-23,2025-04-01,2025-04-27,WIPRO LIMITED,WIPRO LIMITED,NA,APAC,VOVO,null,null,2025-04-22,2025-05-12,2025-04-28,2025-04-27,FALSE,2025-04-28,Ganpati Group,Vendor,1,2025-04-27,2025-04-22,null,NO,null,vsmanasa|nikhilrv|adamneustein|eguttridge|saswat|tekedra|sundar,vsmanasa,null,Yes,2025-04-27,6. Onboarded,7,5,3,,IN-REMOTE,IN-REMOTE-GEN,null,Vendor,No,FALSE,all_aboard,Saksham,1,7,7,3,-1,6,2,5,2,1,3,3,0,1745910103306887,UA,Yes,No,No,No,No
G-CW-00969698,Technical Infrastructure,1557199,2025-04-20,2025-04-20,65H,1,donahenderson,United States,Access Only,2025-04-21,2025-04-01,2025-04-22,GARDA WORLD SECURITY CORPORATION,GARDA WORLD SECURITY CORPORATION,NA,NORTH AMERICA,Special Use,null,null,2025-04-21,2025-05-05,2025-04-21,2025-04-21,FALSE,2025-04-21,Ganpati Group,Vendor,1,2025-04-22,2025-04-21,null,NO,null,elstanley|rajordan|hviccione|obrienkevin|alexmj|btreynor|tkurian|sundar,elstanley,null,Yes,2025-04-22,6. Onboarded,2,1,1,,US-AUS,US-AUS-PFG1A,null,Vendor,No,FALSE,all_aboard,Saksham,1,2,2,1,1,0,1,1,0,1,1,0,1,1745910103306887,UA,Yes,No,No,No,No
G-CW-00969681,Technical Infrastructure,1520106,2025-04-18,2025-04-18,610,3,cuicasperez,United States,Equipment and Access,2025-04-21,2025-04-01,2025-04-24,DIRECT LINE GLOBAL LLC,DIRECT LINE GLOBAL LLC,NA,NORTH AMERICA,Special Use,null,null,2025-04-21,2025-05-08,2025-04-24,2025-04-24,FALSE,2025-04-24,Ganpati Group,Vendor,1,2025-04-24,2025-04-21,null,NO,null,awigant|bbrumit|anureddy|allenware|alexmj|btreynor|tkurian|sundar,awigant,null,Yes,2025-04-24,6. Onboarded,6,4,3,,US-AST,US-AST-DAT2,null,Vendor,Yes,TRUE,all_aboard,Saksham,1,6,6,3,1,3,3,4,1,1,3,3,0,1745910103306887,UA,Yes,No,No,No,No
G-CW-00970976,REWS,1558473,2025-04-22,2025-04-22,68L,1,whislera,United States,Access Only,2025-04-24,2025-04-01,2025-04-24,SUREFOX CONSULTING LLC,"SUREFOX CONSULTING, LLC.",NA,NORTH AMERICA,GOGO,null,null,2025-04-23,2025-05-09,2025-04-25,2025-04-24,FALSE,2025-04-25,Ganpati Group,Vendor,1,2025-04-24,2025-04-23,null,NO,null,venegasm|markselby|mfein|chrisrackow|scottfoster|ruthporat|sundar,venegasm,null,Yes,2025-04-24,6. Onboarded,2,2,1,,US-SVL,US-SVL-CRSM1260,null,Vendor,No,FALSE,all_aboard,Saksham,1,2,2,2,-1,2,1,2,2,1,0,0,0,1745910103306887,UA,Yes,No,No,No,No
G-CW-00972126,Technical Infrastructure,1559455,2025-04-23,2025-04-23,3PL,1,badge-1559455,United States,Badge Only,2025-04-25,2025-04-01,null,SCHENKER,DEUTSCHE BAHN AG,Badge Only,NORTH AMERICA,Special Use,null,null,null,null,null,null,FALSE,null,null,Vendor,1,2025-04-25,null,null,NO,null,kionai|sammons|davlopez|stewartbt|moniquepicou|btreynor|tkurian|sundar,kionai,null,Yes,2025-04-25,6. Onboarded,2,2,1,,US-FWA,US-FWA-ADC1A,null,Vendor,No,FALSE,all_aboard,Saksham,1,2,2,2,null,null,null,2,2,null,0,0,0,1745910103306887,UA,Yes,No,No,No,No
G-CW-00969389,T&S,1556810,2025-04-17,2025-04-17,6S8,2,badinakishore,India,Access Only,2025-04-21,2025-04-01,2025-04-23,WIPRO LIMITED,WIPRO LIMITED,NA,APAC,GOVO,null,null,2025-04-23,2025-05-05,2025-04-21,2025-04-20,FALSE,2025-04-23,Ganpati Group,Vendor,1,2025-04-23,2025-04-23,null,NO,null,rishitaallika|toriblake|annathomp|kcourington|kwalker|sundar,rishitaallika,null,Yes,2025-04-23,6. Onboarded,6,4,2,,IN-HYD,IN-HYD-SAR3,null,Vendor,No,FALSE,all_aboard,Saksham,1,6,6,4,1,0,6,4,2,4,2,0,2,1745910103306887,UA,Yes,No,No,No,No
G-CW-00969371,Devices & Services,1556847,2025-04-17,2025-04-17,65Z,7,galchhaniya,United States,Equipment and Access,2025-04-21,2025-04-01,2025-04-28,ARCHLYNK LLC,ARCHLYNK LLC,NA,NORTH AMERICA,VOVO,null,null,null,2025-05-12,2025-04-28,2025-04-18,FALSE,2025-04-28,Ganpati Group,Vendor,1,2025-04-28,null,null,NO,null,kimarellano|manojj|sansrini|acorrale|shakilb|ricko|sundar,kimarellano,null,Yes,2025-04-28,6. Onboarded,11,7,5,,US-REMOTE,US-REMOTE-CA,null,Vendor,Yes,FALSE,all_aboard,Non-Saksham,1,11,11,4,1,null,null,7,2,null,5,0,5,1745910103306887,UA,Yes,No,No,No,No
G-CW-00965759,T&S,1553249,2025-04-10,2025-04-10,6S8,7,pajorska,Poland,Equipment and Access,2025-04-15,2025-04-01,2025-04-22,ACCENTURE PLC,ACCENTURE PLC,NA,EMEA,GOVO,null,null,2025-04-13,2025-05-02,2025-04-18,2025-04-18,FALSE,2025-04-22,Ganpati Group,Vendor,1,2025-04-22,2025-04-13,null,NO,null,selorm|toriblake|annathomp|kcourington|kwalker|sundar,selorm,NO,Yes,2025-04-22,6. Onboarded,12,8,5,,PL-KRK,PL-KRK-TERA,null,Vendor,Yes,TRUE,all_aboard,Saksham,1,12,12,5,1,9,3,8,3,2,5,3,2,1745910103306887,UA,Yes,No,No,No,No
G-CW-00968859,Corp Eng,1556829,2025-04-17,2025-04-17,6J7,2,sambhavkjain,India,Access Only,2025-04-21,2025-04-01,2025-04-23,IBM CORPORATION,IBM CORPORATION,NA,APAC,GOVO,null,null,2025-04-23,2025-05-05,2025-04-21,2025-04-21,FALSE,2025-04-23,Ganpati Group,Vendor,1,2025-04-23,2025-04-23,null,NO,null,kumarselvaraj|rajneesh|madhukar|marcberson|jen|sundar,kumarselvaraj,null,Yes,2025-04-23,6. Onboarded,6,4,2,,IN-HYD,IN-HYD-SAR2,null,Vendor,No,FALSE,all_aboard,Saksham,1,6,6,4,1,0,6,4,2,4,2,0,2,1745910103306887,UA,Yes,No,No,No,No
G-CW-00968484,T&S,1556272,2025-04-16,2025-04-16,6S8,5,pedromatias,Portugal,Equipment and Access,2025-04-18,2025-04-01,2025-04-23,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,NA,EMEA,VOVO,null,null,2025-04-23,2025-05-05,2025-04-21,2025-04-21,FALSE,2025-04-23,Ganpati Group,Vendor,1,2025-04-23,2025-04-23,null,NO,null,jujuhage|lgrogan|annathomp|kcourington|kwalker|sundar,jujuhage,null,Yes,2025-04-23,6. Onboarded,7,5,3,,PT-REMOTE,PT-REMOTE-GEN,null,Vendor,Yes,FALSE,all_aboard,Non-Saksham,1,7,7,2,1,0,7,5,2,5,3,1,2,1745910103306887,UA,Yes,No,No,No,No
